ID,NUMBER,NAME,TYPE1,TYPE2,COLOR,GENERATION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,OVERX,OVERY,BIG,SPRITEX,SPRITEY,ABILITY,EVO
103A,103,Exeggutor,Grass,Dragon,Yellow,7,10.9,415.6,95,105,85,125,75,45,2,6,1,1,4,67_-1_80,
105A,105,Marowak,Fire,Ghost,Purple,7,1,34,60,80,110,50,80,45,1,2,0,1,3,35_112_179,
110G,110,Weezing,Poison,Fairy,Grey,8,3,16,65,90,120,85,70,60,0,0,2,2,3,109_138_128,
115M,115,Kangaskhan,Normal,,Brown,1,2.2,100,105,125,100,60,100,100,1,7,0,1,8,145_-1_-1,
122G,122,Mr. Mime,Ice,Psychic,White,8,1.4,56.8,50,65,65,90,90,100,7,3,0,0,4,254_190_90,866_Mr. Rime_Level_42
127M,127,Pinsir,Bug,Flying,Brown,1,1.7,59,65,155,120,65,90,105,1,4,0,1,4,2_-1_-1,
130M,130,Gyarados,Water,Dark,Blue,1,6.5,305,95,155,109,70,130,81,2,4,0,2,6,129_-1_-1,
142A,142,Aerodactyl,Rock,Flying,Purple,1,2.1,79,80,135,85,70,95,150,1,4,0,1,5,242_-1_-1,
150X,150,Mewtwo,Psychic,Fighting,Purple,1,2.3,127,106,190,100,154,100,130,1,0,0,1,2,217_-1_-1,
150Y,150,Mewtwo,Psychic,,Purple,1,1.5,33,106,150,70,194,120,140,1,1,0,1,3,100_-1_-1,
181M,181,Ampharos,Electric,Dragon,Yellow,2,1.4,61.5,90,95,105,165,110,45,2,1,0,2,5,129_-1_-1,
201B,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,1,7,0,2,0,109_-1_-1,
201C,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,1,8,0,2,1,109_-1_-1,
201D,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,1,9,0,2,2,109_-1_-1,
201E,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,1,10,0,2,3,109_-1_-1,
201F,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,0,0,2,4,109_-1_-1,
201G,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,1,0,2,5,109_-1_-1,
201H,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,2,0,2,6,109_-1_-1,
201I,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,3,0,2,7,109_-1_-1,
201J,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,4,0,2,8,109_-1_-1,
201K,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,5,0,3,0,109_-1_-1,
201L,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,6,0,3,1,109_-1_-1,
201M,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,7,0,3,2,109_-1_-1,
201N,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,8,0,3,3,109_-1_-1,
201O,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,9,0,3,4,109_-1_-1,
201P,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,2,10,0,3,5,109_-1_-1,
201Q,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,0,0,3,6,109_-1_-1,
201R,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,1,0,3,7,109_-1_-1,
201S,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,2,0,3,8,109_-1_-1,
201T,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,3,0,4,0,109_-1_-1,
201U,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,4,0,4,1,109_-1_-1,
201V,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,5,0,4,2,109_-1_-1,
201W,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,6,0,4,3,109_-1_-1,
201X,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,7,0,4,4,109_-1_-1,
201Y,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,8,0,4,5,109_-1_-1,
201Z,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,9,0,4,6,109_-1_-1,
201!,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,3,10,0,4,7,109_-1_-1,
201?,201,Unown,Psychic,,Black,2,0.5,5,48,72,48,72,48,48,4,0,0,4,8,109_-1_-1,
208M,208,Steelix,Steel,Ground,Grey,2,10.5,740,75,125,230,55,95,30,1,0,1,0,2,182_-1_-1,
212M,212,Scizor,Bug,Steel,Red,2,2,125,70,150,140,65,100,75,2,4,0,2,4,236_-1_-1,
214M,214,Heracross,Bug,Fighting,Blue,2,1.7,62.5,80,185,115,40,105,75,2,7,0,2,7,200_-1_-1,
222G,222,Corsola,Ghost,,White,8,0.6,0.5,65,55,100,65,100,30,0,5,0,1,0,261_-1_35,864_Cursola_Level_38
229M,229,Houndoom,Dark,Fire,Black,2,1.9,49.5,75,90,90,140,90,115,1,2,0,1,2,206_-1_-1,
248M,248,Tyranitar,Rock,Dark,Green,2,2,255,100,164,150,95,120,71,2,1,0,2,3,185_-1_-1,
254M,254,Sceptile,Grass,Dragon,Green,3,1.9,55.2,70,110,75,145,85,145,2,6,0,3,2,112_-1_-1,
257M,257,Blaziken,Fire,Fighting,Red,3,1.9,52,80,160,80,130,80,100,2,8,0,3,2,210_-1_-1,
260M,260,Swampert,Water,Ground,Blue,3,1.9,102,100,150,110,95,110,70,4,4,0,4,8,231_-1_-1,
263G,263,Zigzagoon,Dark,Normal,White,8,0.4,17.5,38,30,41,30,41,60,1,5,0,1,5,149_72_169,264G_Linoone_Level_20
264G,264,Linoone,Dark,Normal,White,8,0.5,32.5,78,70,61,50,61,100,1,6,0,1,6,149_72_169,862_Obstagoon_LevelNight_35
282M,282,Gardevoir,Psychic,Fairy,White,3,1.6,48.4,68,85,65,165,135,100,4,7,0,5,6,150_-1_-1,
302M,302,Sableye,Dark,Ghost,Purple,3,0.5,161,50,85,125,85,115,20,2,1,0,2,1,117_-1_-1,
303M,303,Mawile,Steel,Fairy,Black,3,1,23.5,50,105,125,55,95,50,1,0,0,0,5,85_-1_-1,
306M,306,Aggron,Steel,,Grey,3,2.2,395,70,140,230,60,80,50,1,4,0,1,3,57_-1_-1,
308M,308,Medicham,Fighting,Psychic,Red,3,1.3,31.5,60,100,85,80,85,100,2,2,0,2,2,166_-1_-1,
310M,310,Manectric,Electric,,Yellow,3,1.8,44,70,75,80,135,80,135,2,6,0,3,3,101_-1_-1,
319M,319,Sharpedo,Water,Dark,Blue,3,2.5,130.3,70,140,70,110,65,105,5,0,0,5,5,224_-1_-1,
323M,323,Camerupt,Fire,Ground,Red,3,2.5,320.5,70,120,100,145,105,20,3,2,0,3,5,195_-1_-1,
334M,334,Altaria,Dragon,Fairy,Blue,3,1.5,20.6,75,110,110,110,105,80,0,4,0,0,4,150_-1_-1,
351S,351,Castform,Fire,,Red,3,0.3,0.8,70,70,70,70,70,70,3,4,0,3,7,64_-1_-1,
351R,351,Castform,Water,,Blue,3,0.3,0.8,70,70,70,70,70,70,5,9,0,6,3,64_-1_-1,
351H,351,Castform,Ice,,White,3,0.3,0.8,70,70,70,70,70,70,2,0,0,2,1,64_-1_-1,
354M,354,Banette,Ghost,,Black,3,1.2,13,64,165,75,93,83,75,1,2,0,1,3,158_-1_-1,
359M,359,Absol,Dark,,White,3,1.2,49,65,150,60,115,60,115,2,3,0,2,3,117_-1_-1,
362M,362,Glalie,Ice,,Grey,3,2.1,350.2,80,120,80,120,80,100,2,3,0,2,4,174_-1_-1,
373M,373,Salamence,Dragon,Flying,Blue,3,1.8,112.6,95,145,130,120,90,120,1,2,0,1,2,2_-1_-1,
376M,376,Metagross,Steel,Psychic,Blue,3,2.5,942.9,80,145,150,105,110,110,2,3,0,2,1,242_-1_-1,
380M,380,Latias,Dragon,Psychic,Purple,3,1.8,52,80,100,120,140,150,110,1,5,1,1,4,109_-1_-1,
381M,381,Latios,Dragon,Psychic,Purple,3,2.3,70,80,130,100,160,120,110,1,6,1,2,0,109_-1_-1,
382P,382,Kyogre,Water,,Blue,3,9.8,430,100,150,90,180,160,90,4,0,1,6,10,160_-1_-1,
383P,383,Groudon,Ground,Fire,Red,3,5,999.7,100,180,160,150,90,90,1,4,1,3,1,45_-1_-1,
384M,384,Rayquaza,Dragon,Flying,Green,3,10.8,392,105,180,100,180,100,115,2,0,1,2,2,44_-1_-1,
386A,386,Deoxys,Psychic,,Red,3,1.7,60.8,50,180,20,180,20,150,5,2,0,6,3,159_-1_-1,
386D,386,Deoxys,Psychic,,Red,3,1.7,60.8,50,70,160,70,160,90,5,3,0,6,4,159_-1_-1,
386S,386,Deoxys,Psychic,,Red,3,1.7,60.8,50,95,90,95,90,180,5,4,0,6,5,159_-1_-1,
412S,412,Burmy,Bug,,Brown,4,0.2,3.4,40,29,45,29,45,36,4,5,0,4,5,194_-1_142,413S_Wormadam_LevelFemale_20;414_Mothim_LevelMale_20
412T,412,Burmy,Bug,,Red,4,0.2,3.4,40,29,45,29,45,36,4,6,0,4,6,194_-1_142,413T_Wormadam_LevelFemale_20;414_Mothim_LevelMale_20
413S,413,Wormadam,Bug,Ground,Brown,4,0.5,6.5,60,79,105,59,85,36,4,8,0,4,8,7_-1_142,
413T,413,Wormadam,Bug,Steel,Red,4,0.5,6.5,60,69,95,69,95,36,5,0,0,5,0,7_-1_142,
421S,421,Cherrim,Grass,,Purple,4,0.5,9.3,70,60,70,87,78,85,4,3,0,5,3,61_-1_-1,
422E,422,Shellos,Water,,Blue,4,0.3,6.3,76,48,48,57,62,34,6,11,0,7,6,222_223_182,423E_Gastrodon_Level_30
423E,423,Gastrodon,Water,Ground,Blue,4,0.9,29.9,111,83,68,92,82,39,7,1,0,7,8,222_223_182,
428M,428,Lopunny,Normal,Fighting,Brown,4,1.3,28.3,65,136,94,54,96,135,5,10,0,6,5,189_-1_-1,
445M,445,Garchomp,Dragon,Ground,Blue,4,1.9,95,108,170,115,120,95,92,3,0,0,3,0,182_-1_-1,
448M,448,Lucario,Fighting,Steel,Blue,4,1.3,57.5,70,145,88,140,70,112,2,5,0,2,5,1_-1_-1,
460M,460,Abomasnow,Grass,Ice,White,4,2.7,185,90,132,105,132,105,30,4,7,0,5,7,205_-1_-1,
475M,475,Gallade,Psychic,Fighting,White,4,1.6,56.4,68,165,95,65,115,110,5,8,0,7,0,99_-1_-1,
479FI,479,Rotom,Electric,Fire,Red,4,0.3,0.3,50,65,107,105,107,86,3,7,0,4,6,109_-1_-1,
479WA,479,Rotom,Electric,Water,Red,4,0.3,0.3,50,65,107,105,107,86,3,8,0,5,0,109_-1_-1,
479IC,479,Rotom,Electric,Ice,Red,4,0.3,0.3,50,65,107,105,107,86,4,0,0,5,1,109_-1_-1,
479FL,479,Rotom,Electric,Flying,Red,4,0.3,0.3,50,65,107,105,107,86,4,1,0,5,2,109_-1_-1,
479GR,479,Rotom,Electric,Grass,Red,4,0.3,0.3,50,65,107,105,107,86,4,2,0,5,3,109_-1_-1,
487O,487,Giratina,Ghost,Dragon,Black,4,6.9,650,150,120,100,120,100,90,2,3,1,3,2,109_-1_-1,
492S,492,Shaymin,Grass,Flying,Green,4,0.4,5.2,100,103,75,120,75,127,5,1,0,6,3,191_-1_-1,
531M,531,Audino,Normal,Fairy,White,5,1.5,32,103,60,126,80,126,50,7,7,0,8,4,81_-1_-1,
550R,550,Basculin,Water,,Green,5,1,18,70,92,65,80,55,98,8,4,0,9,2,179_1_129,
554G,554,Darumaka,Ice,,White,8,0.7,40,70,90,45,15,45,50,4,1,0,4,2,87_-1_99,555G_Darmanitan_Item_172
555Z,555,Darmanitan,Fire,Psychic,White,5,1.3,92.9,105,30,105,140,105,55,4,8,0,5,4,266_-1_-1,
555G,555,Darmanitan,Ice,,White,8,1.7,120,105,140,55,30,55,95,4,2,0,4,3,74_-1_266,
555GZ,555,Darmanitan,Ice,Fire,White,8,1.7,120,105,160,55,30,55,135,4,3,0,4,4,266_-1_-1,
562G,562,Yamask,Ground,Ghost,Black,8,0.5,1.5,38,55,85,30,65,30,1,5,0,4,5,256_-1_-1,867_Runerigus_Item_539
585S,585,Deerling,Normal,Grass,Green,5,0.6,19.5,60,60,50,40,50,75,7,10,0,8,8,24_187_191,586S_Sawsbuck_Level_34
585A,585,Deerling,Normal,Grass,Red,5,0.6,19.5,60,60,50,40,50,75,8,1,0,8,9,24_187_191,586A_Sawsbuck_Level_34
585W,585,Deerling,Normal,Grass,Brown,5,0.6,19.5,60,60,50,40,50,75,8,2,0,9,0,24_187_191,586W_Sawsbuck_Level_34
586S,586,Sawsbuck,Normal,Grass,Brown,5,1.9,92.5,80,100,70,60,70,95,8,4,0,9,2,24_187_191,
586A,586,Sawsbuck,Normal,Grass,Brown,5,1.9,92.5,80,100,70,60,70,95,8,5,0,9,3,24_187_191,
586W,586,Sawsbuck,Normal,Grass,Brown,5,1.9,92.5,80,100,70,60,70,95,8,6,0,9,4,24_187_191,
618G,618,Stunfisk,Ground,Steel,Green,8,0.7,20.5,109,81,99,66,84,32,7,4,0,5,1,125_-1_-1,
641T,641,Tornadus,Flying,,Green,5,1.4,63,79,100,80,110,90,121,0,1,2,0,1,175_-1_-1,
642T,642,Thundurus,Electric,Flying,Blue,5,3,61,79,105,70,145,80,101,2,0,2,6,4,255_-1_-1,
645T,645,Landorus,Ground,Flying,Brown,5,1.3,68,89,145,90,105,80,91,6,3,0,5,5,101_-1_-1,
646W,646,Kyurem,Dragon,Ice,Grey,5,3.6,325,125,120,90,170,100,95,1,0,2,4,2,248_-1_-1,
646B,646,Kyurem,Dragon,Ice,Grey,5,3.3,325,125,170,100,120,90,95,1,1,2,4,3,238_-1_-1,
647R,647,Keldeo,Water,Fighting,Yellow,5,1.4,48.5,91,72,90,129,90,108,9,2,0,10,0,105_-1_-1,
648P,648,Meloetta,Normal,Fighting,White,5,0.6,6.5,100,128,90,77,77,128,9,0,0,9,9,191_-1_-1,
658A,658,Greninja,Water,Dark,Blue,7,1.5,40,72,145,67,153,71,132,9,6,0,10,4,16_-1_-1,
678F,678,Meowstic,Psychic,,White,6,0.6,8.5,74,48,76,83,81,104,7,7,0,9,3,106_97_29,
681S,681,Aegislash,Steel,Ghost,Brown,6,1.7,53,60,150,50,150,50,60,5,1,0,4,2,215_-1_-1,
718T,718,Zygarde,Dragon,Ground,Black,6,1.2,33.5,54,100,71,61,85,115,5,3,0,5,2,11_155_-1,
718C,718,Zygarde ,Dragon,Ground,Black,6,4.5,610,216,100,121,91,95,85,5,3,0,5,3,155_-1_-1,
719M,719,Diancie,Rock,Fairy,Pink,6,1.1,27.8,50,160,110,160,110,110,5,6,0,6,4,117_-1_-1,
720U,720,Hoopa,Psychic,Dark,Purple,6,6.5,490,80,160,60,170,130,80,3,1,1,9,5,119_-1_-1,
741E,741,Oricorio,Electric,Flying,Yellow,7,0.6,3.4,75,70,70,98,70,93,5,5,0,7,1,38_-1_-1,
741P,741,Oricorio,Psychic,Flying,Pink,7,0.6,3.4,75,70,70,98,70,93,7,10,0,9,6,38_-1_-1,
741G,741,Oricorio,Ghost,Flying,Purple,7,0.6,3.4,75,70,70,98,70,93,4,3,0,5,2,38_-1_-1,
745N,745,Lycanroc,Rock,,Red,7,1.1,25,85,115,75,55,75,82,6,2,0,7,0,106_254_139,
745D,745,Lycanroc,Rock,,Brown,7,0.8,25,75,117,65,55,65,110,6,3,0,7,1,242_-1_-1,
746S,746,Wishiwashi,Water,,Blue,7,8.2,78.6,45,140,130,140,135,30,10,1,0,11,0,188_-1_-1,
774R,774,Minior,Rock,Flying,Red,7,0.3,0.3,60,100,60,100,60,120,6,5,0,7,3,198_-1_-1,
800M,800,Necrozma,Psychic,Steel,Yellow,7,3.8,460,97,157,127,113,109,77,8,6,0,10,4,161_-1_-1,
800W,800,Necrozma,Psychic,Ghost,Blue,7,4.2,350,97,113,109,157,127,77,3,0,2,10,5,161_-1_-1,
800U,800,Necrozma,Psychic,Dragon,Yellow,7,7.5,230,97,167,97,167,97,129,3,2,1,10,6,137_-1_-1,
849L,849,Toxtricity,Electric,Poison,Purple,8,1.6,40,75,98,70,114,70,75,6,5,0,8,3,165_126_236,
875N,875,Eiscue,Ice,,Blue,8,1.4,89,75,80,70,65,50,130,7,1,0,7,2,91_-1_-1,
876F,876,Indeedee,Psychic,Normal,Purple,8,0.9,28,70,55,65,95,105,85,9,2,0,11,2,144_233_164,
888C,888,Zacian,Fairy,Steel,Blue,8,2.8,355,92,170,115,80,115,148,4,1,0,4,1,102_-1_-1,
889C,889,Zamazenta,Fighting,Steel,Red,8,2.9,785,92,130,145,80,145,128,6,1,0,6,1,40_-1_-1,
892R,892,Urshifu,Fighting,Water,Grey,8,1.9,105,100,130,100,63,60,97,6,4,0,6,4,252_-1_-1,
592F,592,Frillish,Water,Ghost,White,5,1.2,33,55,40,50,65,85,40,11,4,0,12,4,257_35_37,593F_Jellicent_Level_40
801O,801,Magearna,Steel,Fairy,Red,7,1,80.5,80,95,115,130,115,65,7,1,0,6,0,208_-1_-1,
144G,144,Articuno,Psychic,Flying,Purple,8,1.7,50.9,90,85,85,125,100,95,9,4,0,11,4,29_-1_-1,
145G,145,Zapdos,Fighting,Flying,Yellow,8,1.6,58.2,90,125,90,85,90,100,6,5,0,6,5,43_-1_112,
146G,146,Moltres,Dark,Flying,Red,8,2,66,90,85,90,100,125,90,6,3,0,6,3,18_-1_-1,
716N,716,Xerneas,Fairy,,Blue,6,3,215,126,131,95,131,98,99,1,1,1,4,2,56_-1_-1,
669Y,669,Flabebe,Fairy,,White,6,0.1,0.1,44,38,39,61,79,42,4,3,0,4,3,62_-1_232,670Y_Floette_Level_19
669O,669,Flabebe,Fairy,,White,6,0.1,0.1,44,38,39,61,79,42,4,4,0,4,4,62_-1_232,670O_Floette_Level_19
669B,669,Flabebe,Fairy,,White,6,0.1,0.1,44,38,39,61,79,42,5,0,0,5,0,62_-1_232,670B_Floette_Level_19
669W,669,Flabebe,Fairy,,White,6,0.1,0.1,44,38,39,61,79,42,5,1,0,5,1,62_-1_232,670W_Floette_Level_19
670Y,670,Floette,Fairy,,White,6,0.2,0.9,54,45,47,75,98,52,5,2,0,5,2,62_-1_232,671Y_Florges_Item_187
670O,670,Floette,Fairy,,White,6,0.2,0.9,54,45,47,75,98,52,5,3,0,5,3,62_-1_232,671O_Florges_Item_187
670B,670,Floette,Fairy,,White,6,0.2,0.9,54,45,47,75,98,52,5,4,0,5,4,62_-1_232,671B_Florges_Item_187
670W,670,Floette,Fairy,,White,6,0.2,0.9,54,45,47,75,98,52,6,0,0,6,0,62_-1_232,671W_Florges_Item_187
671Y,671,Florges,Fairy,,White,6,1.1,10,78,65,68,112,154,75,6,1,0,6,1,62_-1_232,
671O,671,Florges,Fairy,,White,6,1.1,10,78,65,68,112,154,75,6,2,0,6,2,62_-1_232,
671B,671,Florges,Fairy,,White,6,1.1,10,78,65,68,112,154,75,6,3,0,6,3,62_-1_232,
671W,671,Florges,Fairy,,White,6,1.1,10,78,65,68,112,154,75,6,4,0,6,4,62_-1_232,
724H,724,Decidueye,Grass,Fighting,Brown,8,1.6,37,88,112,80,95,95,60,9,2,0,11,4,143_-1_116,
157H,157,Typhlosion,Fire,Ghost,Yellow,8,1.6,69.8,73,84,78,119,85,95,7,2,0,8,1,20_-1_60,
503H,503,Samurott,Water,Dark,Blue,8,1.5,58.2,90,108,80,100,65,85,11,5,0,12,5,241_-1_196,
211H,211,Qwilfish,Dark,Poison,Black,8,0.5,3.9,65,95,85,55,55,85,6,4,0,6,4,153_231_101,904_Overqwil_HasMove_Barb Barrage
549H,549,Lilligant,Grass,Fighting,Green,8,1.2,19.2,70,105,75,50,75,105,9,3,0,11,5,24_87_108,
705H,705,Sliggoo,Steel,Dragon,Purple,8,0.7,68.5,58,75,83,83,113,40,7,2,0,6,1,187_142_73,706H_Goodra_LevelRain_50
706H,706,Goodra,Steel,Dragon,Purple,8,1.7,334.1,80,100,100,110,150,60,7,3,0,6,2,187_142_73,
58H,58,Growlithe,Fire,Rock,Brown,8,0.8,22.7,60,75,45,65,50,55,7,3,0,8,2,101_60_105,59H_Arcanine_Item_168
59H,59,Arcanine,Fire,Rock,Brown,8,2,168,95,115,80,95,80,90,7,4,0,8,3,101_60_105,
550H,550,Basculin,Water,,Green,8,1,18,70,92,65,80,55,98,11,6,0,12,6,171_1_129,902_Basculegion_HappinessMale_220;902F_Basculegion_HappinessFemale_220
100H,100,Voltorb,Electric,Grass,Red,8,0.5,13,40,30,50,55,55,100,7,2,0,9,2,209_216_3,101H_Electrode_Item_174
101H,101,Electrode,Electric,Grass,Red,8,1.2,71,60,50,70,80,80,150,7,3,0,9,3,209_216_3,
215H,215,Sneasel,Fighting,Poison,Grey,8,0.9,27,55,95,55,35,75,115,7,0,0,7,0,99_106_154,903_Sneasler_DayHoldItem_182
713H,713,Avalugg,Ice,Rock,Blue,8,1.4,262.4,95,127,184,34,36,38,7,4,0,7,4,224_90_225,
570H,570,Zorua,Normal,Ghost,Grey,8,0.7,12.5,35,60,40,85,40,70,6,7,0,12,1,94_-1_-1,571H_Zoroark_Level_30
571H,571,Zoroark,Normal,Ghost,Grey,8,1.6,73,55,100,60,125,60,110,6,8,0,12,2,94_-1_-1,
628H,628,Braviary,Psychic,Flying,Grey,8,1.7,43.4,110,83,70,112,70,65,9,5,0,11,5,106_195_43,
905T,905,Enamorus,Fairy,Flying,Pink,8,1.6,48,74,115,110,135,100,46,0,1,1,7,1,142_-1_-1,
483O,483,Dialga,Steel,Dragon,White,8,7,848.7,100,100,120,150,120,90,0,3,1,6,3,159_-1_237,
484O,484,Palkia,Water,Dragon,Purple,8,6.3,659,90,100,100,150,120,120,0,4,1,12,8,159_-1_237,
199G,199,Slowking,Poison,Psychic,Pink,8,1.8,79.5,95,65,80,110,110,30,3,2,0,5,4,34_144_175,
774O,774,Minior,Rock,Flying,Red,7,0.3,0.3,60,100,60,100,60,120,6,7,0,8,3,198_-1_-1,
774Y,774,Minior,Rock,Flying,Yellow,7,0.3,0.3,60,100,60,100,60,120,6,0,0,8,4,198_-1_-1,
774G,774,Minior,Rock,Flying,Green,7,0.3,0.3,60,100,60,100,60,120,7,4,0,8,5,198_-1_-1,
774B,774,Minior,Rock,Flying,Blue,7,0.3,0.3,60,100,60,100,60,120,7,5,0,8,6,198_-1_-1,
774I,774,Minior,Rock,Flying,Blue,7,0.3,0.3,60,100,60,100,60,120,7,6,0,9,0,198_-1_-1,
